timestamp,distance
2021-02-01T14:31:00Z,13.90
2021-02-01T14:36:00Z,6.90
2021-02-01T14:38:00Z,16.40
2021-02-01T14:39:00Z,5.00
2021-02-01T14:40:00Z,5.60
2021-02-01T14:41:00Z,7.50
2021-02-01T14:44:00Z,5.60
2021-02-01T14:45:00Z,23.30
2021-02-01T14:47:00Z,10.10
2021-02-01T14:52:00Z,9.40
2021-02-01T14:53:00Z,17.00
2021-02-01T14:54:00Z,25.90
2021-02-01T14:55:00Z,35.40
2021-02-01T14:56:00Z,46.80
2021-02-01T14:57:00Z,54.40
2021-02-01T14:58:00Z,51.20
2021-02-01T14:59:00Z,35.40
2021-02-01T15:00:00Z,28.40
2021-02-01T15:01:00Z,21.40
2021-02-01T15:02:00Z,3.10
2021-02-01T15:03:00Z,13.90
2021-02-01T15:04:00Z,26.50
2021-02-01T15:05:00Z,10.10
2021-02-01T15:06:00Z,24.60
2021-02-01T15:07:00Z,21.50
2021-02-01T15:08:00Z,32.80
2021-02-01T15:09:00Z,25.20
2021-02-01T15:11:00Z,7.50
2021-02-01T15:12:00Z,5.00
2021-02-01T15:13:00Z,67.00
2021-02-01T15:14:00Z,36.00
2021-02-01T15:15:00Z,53.10
2021-02-01T15:16:00Z,77.10
2021-02-01T15:17:00Z,57.50
2021-02-01T15:18:00Z,41.70
2021-02-01T15:19:00Z,57.50
2021-02-01T15:20:00Z,55.00
2021-02-01T15:21:00Z,54.40
2021-02-01T15:22:00Z,36.60
2021-02-01T15:23:00Z,6.30
2021-02-01T15:24:00Z,13.20
2021-02-01T15:26:00Z,5.00
2021-02-01T15:28:00Z,15.10
2021-02-01T15:29:00Z,13.20
2021-02-01T15:30:00Z,4.40
2021-02-01T15:31:00Z,5.60
2021-02-01T15:32:00Z,51.20
2021-02-01T15:33:00Z,14.50
2021-02-01T15:34:00Z,15.80
2021-02-01T15:35:00Z,30.30
2021-02-01T15:36:00Z,25.30
2021-02-01T15:37:00Z,3.10
2021-02-01T15:38:00Z,30.90
2021-02-01T15:39:00Z,20.80
2021-02-01T15:40:00Z,37.90
2021-02-01T15:41:00Z,15.80
2021-02-01T15:42:00Z,8.80
2021-02-01T15:43:00Z,31.60
2021-02-01T15:44:00Z,22.10
2021-02-01T15:45:00Z,3.70
2021-02-01T15:47:00Z,22.70
2021-02-01T15:48:00Z,36.00
2021-02-01T15:49:00Z,27.80
2021-02-01T15:50:00Z,27.10
2021-02-01T15:51:00Z,15.10
2021-02-01T15:52:00Z,11.30
2021-02-01T15:53:00Z,17.00
2021-02-01T15:54:00Z,22.10
2021-02-01T15:55:00Z,24.00
2021-02-01T15:56:00Z,5.60
2021-02-01T15:57:00Z,50.50
2021-02-01T15:58:00Z,42.30
2021-02-01T15:59:00Z,39.20
2021-02-01T16:00:00Z,12.00
2021-02-01T16:01:00Z,20.20
2021-02-01T16:02:00Z,7.50
2021-02-01T16:08:00Z,13.20
2021-02-01T16:10:00Z,29.00
2021-02-01T16:11:00Z,10.10
2021-02-01T16:12:00Z,6.30
2021-02-01T16:13:00Z,10.10
2021-02-01T16:15:00Z,13.20
2021-02-01T16:16:00Z,14.50
2021-02-01T16:17:00Z,17.70
2021-02-01T16:19:00Z,24.60
2021-02-01T16:20:00Z,35.40
2021-02-01T16:21:00Z,0.60
2021-02-01T16:23:00Z,5.60
2021-02-01T16:24:00Z,8.80
2021-02-01T16:25:00Z,4.40
2021-02-01T16:26:00Z,5.60
2021-02-01T16:28:00Z,3.10
2021-02-01T16:29:00Z,6.90
2021-02-01T16:30:00Z,12.60
2021-02-01T16:31:00Z,21.50
2021-02-01T16:32:00Z,24.60
2021-02-01T16:35:00Z,4.40
2021-02-01T16:44:00Z,19.60
2021-02-01T16:45:00Z,9.40
2021-02-01T16:51:00Z,5.60
2021-02-01T16:52:00Z,19.60
2021-02-01T16:53:00Z,30.30
2021-02-01T16:54:00Z,6.90
2021-02-01T16:55:00Z,12.60
2021-02-01T16:57:00Z,5.00
2021-02-01T16:59:00Z,5.00
2021-02-01T17:00:00Z,8.20
2021-02-01T17:04:00Z,5.00
2021-02-01T17:06:00Z,17.70
2021-02-01T17:07:00Z,18.90
2021-02-01T17:16:00Z,5.60
2021-02-01T17:27:00Z,8.80
2021-02-01T17:28:00Z,32.80
2021-02-01T17:29:00Z,41.70
2021-02-01T17:30:00Z,34.10
2021-02-01T17:31:00Z,6.30
2021-02-01T17:32:00Z,10.70
2021-02-01T17:47:00Z,2.50
2021-02-01T17:49:00Z,3.10
2021-02-01T17:54:00Z,8.20
2021-02-01T17:58:00Z,5.60
2021-02-01T18:00:00Z,19.60
2021-02-01T18:18:00Z,12.00
2021-02-01T18:19:00Z,3.70
2021-02-01T18:50:00Z,29.70
2021-02-01T18:51:00Z,23.40
2021-02-01T18:52:00Z,11.30
2021-02-01T18:54:00Z,5.00
2021-02-01T18:55:00Z,3.70
2021-02-01T19:01:00Z,6.90
2021-02-01T19:03:00Z,3.10
2021-02-01T19:04:00Z,2.50
2021-02-01T19:26:00Z,5.60
2021-02-01T19:45:00Z,8.20
2021-02-01T22:53:00Z,3.10
2021-02-02T01:16:00Z,5.60
2021-02-02T01:17:00Z,11.30
2021-02-02T01:18:00Z,3.70
2021-02-02T01:19:00Z,5.60
2021-02-02T01:23:00Z,6.90
2021-02-02T01:24:00Z,8.20
2021-02-02T01:28:00Z,10.10
2021-02-02T01:33:00Z,8.80
2021-02-02T01:34:00Z,2.50
2021-02-02T01:40:00Z,2.50
2021-02-02T01:50:00Z,3.70
2021-02-02T02:15:00Z,4.40
2021-02-02T02:24:00Z,3.70
2021-02-02T02:30:00Z,4.40
2021-02-02T02:42:00Z,3.70
2021-02-02T02:47:00Z,12.00
2021-02-02T02:48:00Z,32.80
2021-02-02T02:49:00Z,48.00
2021-02-02T02:50:00Z,51.20
2021-02-02T02:51:00Z,57.50
2021-02-02T02:52:00Z,61.30
2021-02-02T02:53:00Z,58.80
2021-02-02T02:54:00Z,52.50
2021-02-02T02:55:00Z,55.60
2021-02-02T02:56:00Z,63.90
2021-02-02T02:57:00Z,59.40
2021-02-02T02:58:00Z,63.20
2021-02-02T02:59:00Z,56.90
2021-02-02T03:00:00Z,55.00
2021-02-02T03:01:00Z,68.90
2021-02-02T03:02:00Z,58.80
2021-02-02T03:03:00Z,43.00
2021-02-02T03:04:00Z,51.80
2021-02-02T03:05:00Z,15.10
2021-02-02T03:06:00Z,9.40
