timestamp,steps
2024-04-17T14:21:00Z,94
2024-04-17T14:22:00Z,2
2024-04-17T14:24:00Z,53
2024-04-17T14:26:00Z,26
2024-04-17T14:27:00Z,28
2024-04-17T14:29:00Z,19
2024-04-17T14:30:00Z,28
2024-04-17T14:31:00Z,7
2024-04-17T14:32:00Z,22
2024-04-17T14:33:00Z,2
2024-04-17T14:50:00Z,5
2024-04-17T14:51:00Z,37
2024-04-17T14:53:00Z,36
2024-04-17T14:54:00Z,32
2024-04-17T14:55:00Z,6
2024-04-17T14:57:00Z,16
2024-04-17T14:58:00Z,55
2024-04-17T14:59:00Z,46
2024-04-17T15:00:00Z,43
2024-04-17T15:02:00Z,16
2024-04-17T15:03:00Z,16
2024-04-17T15:05:00Z,12
2024-04-17T15:08:00Z,11
2024-04-17T15:09:00Z,46
2024-04-17T15:10:00Z,38
2024-04-17T15:11:00Z,57
2024-04-17T15:12:00Z,62
2024-04-17T15:13:00Z,10
2024-04-17T15:14:00Z,7
2024-04-17T15:15:00Z,35
2024-04-17T15:16:00Z,38
2024-04-17T15:17:00Z,13
2024-04-17T15:18:00Z,41
2024-04-17T15:19:00Z,27
2024-04-17T15:20:00Z,6
2024-04-17T15:21:00Z,38
2024-04-17T15:22:00Z,45
2024-04-17T15:23:00Z,21
2024-04-17T15:24:00Z,10
2024-04-17T15:35:00Z,8
2024-04-17T15:43:00Z,12
2024-04-17T15:44:00Z,5
2024-04-17T15:45:00Z,7
2024-04-17T15:48:00Z,16
2024-04-17T15:49:00Z,81
2024-04-17T15:50:00Z,94
2024-04-17T15:51:00Z,109
2024-04-17T15:52:00Z,113
2024-04-17T15:53:00Z,114
2024-04-17T15:54:00Z,116
2024-04-17T15:55:00Z,106
2024-04-17T15:56:00Z,95
2024-04-17T15:57:00Z,114
2024-04-17T15:58:00Z,117
2024-04-17T15:59:00Z,114
2024-04-17T16:00:00Z,117
2024-04-17T16:01:00Z,114
2024-04-17T16:02:00Z,83
2024-04-17T16:03:00Z,92
2024-04-17T16:04:00Z,10
2024-04-17T16:12:00Z,55
2024-04-17T16:13:00Z,41
2024-04-17T16:14:00Z,21
2024-04-17T16:15:00Z,31
2024-04-17T16:16:00Z,10
2024-04-17T16:17:00Z,12
2024-04-17T16:18:00Z,12
2024-04-17T16:21:00Z,8
2024-04-17T16:22:00Z,1
2024-04-17T16:23:00Z,10
2024-04-17T16:24:00Z,12
2024-04-17T16:26:00Z,6
2024-04-17T16:27:00Z,14
2024-04-17T16:30:00Z,10
2024-04-17T16:35:00Z,15
2024-04-17T16:36:00Z,7
2024-04-17T16:37:00Z,13
2024-04-17T16:38:00Z,12
2024-04-17T16:39:00Z,4
2024-04-17T16:40:00Z,14
2024-04-17T16:43:00Z,19
2024-04-17T16:44:00Z,9
2024-04-17T17:11:00Z,35
2024-04-17T17:12:00Z,72
2024-04-17T17:13:00Z,115
2024-04-17T17:14:00Z,102
2024-04-17T17:15:00Z,20
2024-04-17T17:18:00Z,50
2024-04-17T17:19:00Z,63
2024-04-17T17:26:00Z,28
2024-04-17T17:27:00Z,5
2024-04-17T17:28:00Z,101
2024-04-17T17:29:00Z,111
2024-04-17T17:30:00Z,111
2024-04-17T17:31:00Z,113
2024-04-17T17:32:00Z,74
2024-04-17T17:33:00Z,112
2024-04-17T17:34:00Z,113
2024-04-17T17:35:00Z,110
2024-04-17T17:36:00Z,108
2024-04-17T17:37:00Z,100
2024-04-17T17:38:00Z,76
2024-04-17T17:39:00Z,23
2024-04-17T18:18:00Z,26
2024-04-17T18:19:00Z,15
2024-04-17T18:30:00Z,27
2024-04-17T18:31:00Z,56
2024-04-17T18:50:00Z,9
2024-04-17T19:00:00Z,23
2024-04-17T19:02:00Z,16
2024-04-17T19:03:00Z,18
2024-04-17T19:04:00Z,4
2024-04-17T19:05:00Z,32
2024-04-17T19:06:00Z,6
2024-04-17T19:10:00Z,7
2024-04-17T19:41:00Z,20
2024-04-17T19:50:00Z,6
2024-04-17T19:51:00Z,87
2024-04-17T19:52:00Z,11
2024-04-17T19:58:00Z,6
2024-04-17T20:33:00Z,5
2024-04-17T20:36:00Z,14
2024-04-17T20:42:00Z,34
2024-04-17T20:57:00Z,12
2024-04-17T21:31:00Z,85
2024-04-17T21:32:00Z,57
2024-04-17T22:24:00Z,8
2024-04-17T22:38:00Z,10
2024-04-17T22:40:00Z,12
2024-04-17T22:47:00Z,6
2024-04-17T22:53:00Z,4
2024-04-17T22:54:00Z,26
2024-04-17T22:55:00Z,92
2024-04-17T22:56:00Z,107
2024-04-17T22:57:00Z,94
2024-04-17T22:58:00Z,89
2024-04-17T22:59:00Z,109
2024-04-17T23:00:00Z,110
2024-04-17T23:01:00Z,107
2024-04-17T23:02:00Z,110
2024-04-17T23:03:00Z,108
2024-04-17T23:04:00Z,103
2024-04-17T23:05:00Z,105
2024-04-17T23:06:00Z,106
2024-04-17T23:07:00Z,110
2024-04-17T23:08:00Z,104
2024-04-17T23:09:00Z,106
2024-04-17T23:10:00Z,105
2024-04-17T23:11:00Z,59
2024-04-17T23:12:00Z,35
2024-04-17T23:13:00Z,2
2024-04-17T23:22:00Z,12
2024-04-17T23:27:00Z,6
2024-04-17T23:34:00Z,6
2024-04-17T23:39:00Z,20
2024-04-17T23:41:00Z,10
2024-04-17T23:44:00Z,31
2024-04-17T23:46:00Z,23
2024-04-17T23:47:00Z,32
2024-04-17T23:48:00Z,17
2024-04-17T23:50:00Z,8
2024-04-17T23:52:00Z,18
2024-04-17T23:55:00Z,32
2024-04-17T23:56:00Z,13
2024-04-17T23:57:00Z,8
2024-04-17T23:58:00Z,5
2024-04-18T00:12:00Z,4
2024-04-18T00:13:00Z,15
2024-04-18T00:28:00Z,6
2024-04-18T00:30:00Z,42
2024-04-18T00:35:00Z,9
2024-04-18T00:36:00Z,8
2024-04-18T01:04:00Z,9
2024-04-18T01:35:00Z,11
2024-04-18T01:37:00Z,5
2024-04-18T01:48:00Z,13
2024-04-18T01:49:00Z,23
2024-04-18T01:51:00Z,8
2024-04-18T01:52:00Z,23
2024-04-18T01:53:00Z,15
2024-04-18T01:55:00Z,13
2024-04-18T02:04:00Z,6
