timestamp,lap time,stroke count,stroke type
2020-06-05T14:40:46Z,00:00:47.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:42:02Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:42:59Z,00:00:37.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T14:44:18Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T15:31:52Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T15:37:52Z,00:00:30.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T15:39:00Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:11:58Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:20:19Z,00:00:45.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:21:42Z,00:00:33.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:23:24Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:27:37Z,00:00:41.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:28:39Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:30:15Z,00:00:19.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:31:46Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:32:07Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:33:11Z,00:00:30.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:33:57Z,00:00:16.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:34:17Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T16:34:31Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T22:25:22Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T22:39:42Z,00:00:31.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T22:41:30Z,00:00:35.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T22:44:29Z,00:00:28.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T23:37:21Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T23:41:39Z,00:00:33.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-05T23:43:33Z,00:00:35.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T00:08:41Z,00:00:53.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T00:13:14Z,00:00:51.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T00:15:09Z,00:00:32.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T01:15:46Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T01:18:39Z,00:00:29.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T01:41:17Z,00:00:45.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T02:50:50Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T13:28:24Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T14:44:03Z,00:00:39.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:32:38Z,00:00:49.000,19,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:33:39Z,00:00:15.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:34:02Z,00:00:39.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:57:42Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:58:20Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:59:12Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T15:59:48Z,00:00:34.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:00:40Z,00:00:26.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:01:26Z,00:00:27.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:14:03Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:14:50Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:15:34Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:16:21Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:17:02Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:18:17Z,00:00:49.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T16:34:47Z,00:00:25.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T18:26:45Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T19:40:12Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T19:50:34Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:06:15Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:18:56Z,00:00:21.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2020-06-06T20:23:26Z,00:00:24.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
