timestamp,heart rate zone,total minutes
2024-08-16T16:07:00Z,cardio,2
2024-08-16T16:08:00Z,cardio,2
2024-08-16T16:09:00Z,cardio,2
2024-08-16T16:10:00Z,cardio,2
2024-08-16T16:11:00Z,cardio,2
2024-08-16T16:12:00Z,cardio,2
2024-08-16T16:13:00Z,cardio,2
2024-08-16T16:14:00Z,cardio,2
2024-08-16T16:15:00Z,cardio,2
2024-08-16T16:16:00Z,cardio,2
2024-08-16T16:17:00Z,fat burn,1
2024-08-16T16:18:00Z,fat burn,1
2024-08-16T16:19:00Z,fat burn,1
2024-08-16T16:20:00Z,fat burn,1
2024-08-16T16:21:00Z,fat burn,1
2024-08-16T16:22:00Z,fat burn,1
2024-08-16T16:23:00Z,fat burn,1
2024-08-16T16:24:00Z,fat burn,1
2024-08-16T16:25:00Z,fat burn,1
2024-08-16T23:18:00Z,fat burn,1
2024-08-16T23:19:00Z,fat burn,1
2024-08-17T17:11:00Z,fat burn,1
2024-08-17T17:12:00Z,fat burn,1
2024-08-17T17:13:00Z,fat burn,1
2024-08-17T17:14:00Z,fat burn,1
2024-08-17T17:15:00Z,fat burn,1
2024-08-17T17:16:00Z,fat burn,1
2024-08-17T17:17:00Z,fat burn,1
2024-08-17T17:18:00Z,fat burn,1
2024-08-17T17:19:00Z,cardio,2
2024-08-17T17:20:00Z,cardio,2
2024-08-17T17:21:00Z,fat burn,1
2024-08-17T17:22:00Z,fat burn,1
2024-08-17T17:23:00Z,fat burn,1
2024-08-17T17:24:00Z,fat burn,1
2024-08-17T17:25:00Z,fat burn,1
2024-08-17T17:26:00Z,fat burn,1
2024-08-17T17:27:00Z,cardio,2
2024-08-17T17:28:00Z,fat burn,1
2024-08-17T17:29:00Z,fat burn,1
2024-08-17T17:30:00Z,fat burn,1
2024-08-17T17:31:00Z,fat burn,1
2024-08-17T17:32:00Z,fat burn,1
2024-08-17T17:33:00Z,fat burn,1
